OBJECTID,BIKEFACID,BIKETYPE,BIKE_NAME,STREETNAME,IMPLEMENT,PILOT_PERM,ONE_SIDE,DIRECTION,INSTYR,PROT_TYPE,TRIPLE_A,ADDDATE,MODDATE,SDATE,SOURCE,SACC,Shape__Length
213,BIKEFAC3150,Multi-use Pathway,Forest Hills Greenway,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,ROW WALKWAYS,Interactive,188.1189712
214,BIKEFAC3151,Multi-use Pathway,Forest Hills Greenway,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,1831.213861
215,BIKEFAC3152,Multi-use Pathway,Old Lawrencetown Road Trail,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,1608.938225
216,BIKEFAC3153,Multi-use Pathway,Old Lawrencetown Road Trail,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,932.0962225
217,BIKEFAC3154,Multi-use Pathway,Forest Hills Greenway,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,2276.554677
218,BIKEFAC3155,Multi-use Pathway,Forest Hills Greenway,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,1937.313189
219,BIKEFAC3156,Multi-use Pathway,Forest Hills Greenway,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,ORTHO 2006,Interactive,96.1488232
220,BIKEFAC3157,Multi-use Pathway,Forest Hills Greenway,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,122.9963214
221,BIKEFAC3158,Multi-use Pathway,Baker Drive Multi Use Pathway,Baker Dr,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,1932.63672
222,BIKEFAC3159,Multi-use Pathway,Portland Lakes Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,1001.212592
223,BIKEFAC3160,Multi-use Pathway,Portland Lakes Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,236.528194
224,BIKEFAC3161,Multi-use Pathway,Mount Hope Greenway,Mount Hope Ave,Full Implementation,Permanent,South Side,Bidirectional,,Raised grade separation from roadway,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,1499.463763
225,BIKEFAC3162,Multi-use Pathway,Portland Lakes Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,11.61770072
226,BIKEFAC3163,Multi-use Pathway,Portland Lakes Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,610.6143316
227,BIKEFAC3164,Multi-use Pathway,Portland Lakes Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,137.7581619
228,BIKEFAC3165,Multi-use Pathway,Portland Lakes Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,104.5544118
229,BIKEFAC3166,Multi-use Pathway,Portland Lakes Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,87.24319337
230,BIKEFAC3167,Multi-use Pathway,Portland Lakes Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,62.25855766
231,BIKEFAC3168,Multi-use Pathway,Portland Lakes Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,54.29636082
232,BIKEFAC3169,Multi-use Pathway,Portland Lakes Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,340.7255056
233,BIKEFAC3170,Multi-use Pathway,Portland Lakes Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,33.6630393
234,BIKEFAC3171,Multi-use Pathway,Portland Lakes Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,178.9758691
235,BIKEFAC3172,Multi-use Pathway,Portland Lakes Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,186.9357368
236,BIKEFAC3173,Multi-use Pathway,Portland Lakes Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,227.5045673
237,BIKEFAC3174,Multi-use Pathway,Portland Lakes Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,353.1426609
238,BIKEFAC3175,Multi-use Pathway,Portland Lakes Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,66.66161566
239,BIKEFAC3176,Multi-use Pathway,Portland Lakes Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,202.760744
240,BIKEFAC3177,Multi-use Pathway,Portland Lakes Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,108.4057105
241,BIKEFAC3178,Multi-use Pathway,Portland Lakes Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,84.59965969
242,BIKEFAC3179,Multi-use Pathway,Portland Lakes Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,38.72482354
243,BIKEFAC3180,Multi-use Pathway,Portland Lakes Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,398.9952319
244,BIKEFAC3181,Multi-use Pathway,Portland Lakes Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,6.603229491
245,BIKEFAC3182,Multi-use Pathway,Portland Lakes Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,127.381845
246,BIKEFAC3183,Multi-use Pathway,Portland Lakes Greenway,,Full Implementation,Permanent,,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,345.7283747
247,BIKEFAC3184,Multi-use Pathway,Dartmouth Harbourfront Greenway,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,736.7363088
248,BIKEFAC3185,Multi-use Pathway,Dartmouth Harbourfront Greenway,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,901.4114578
249,BIKEFAC3186,Multi-use Pathway,Dartmouth Harbourfront Greenway,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,592.6949819
250,BIKEFAC3187,Multi-use Pathway,Dartmouth Harbourfront Greenway,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,128.1194913
251,BIKEFAC3188,Multi-use Pathway,Dartmouth Harbourfront Greenway,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,HRM_TRAIL,Interactive,1264.828261
252,BIKEFAC3189,Multi-use Pathway,Dartmouth Common Pathways,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,448.468164
253,BIKEFAC3190,Multi-use Pathway,Dartmouth Common Pathways,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,281.7143549
254,BIKEFAC3191,Multi-use Pathway,Dartmouth Common Pathways,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,66.44592677
255,BIKEFAC3192,Multi-use Pathway,Dartmouth Common Pathways,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,236.5322511
256,BIKEFAC3193,Multi-use Pathway,Dartmouth Harbourfront Greenway,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,111.0312402
257,BIKEFAC3194,Multi-use Pathway,Halifax Common Multi-Use Pathways,,Full Implementation,Permanent,Not Applicable,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,26.70181667
258,BIKEFAC3195,Multi-use Pathway,Halifax Common Multi-Use Pathways,,Full Implementation,Permanent,Not Applicable,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,165.0250474
259,BIKEFAC3196,Multi-use Pathway,Halifax Common Multi-Use Pathways,,Full Implementation,Permanent,Not Applicable,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,150.6010669
260,BIKEFAC3197,Multi-use Pathway,Halifax Common Multi-Use Pathways,,Full Implementation,Permanent,Not Applicable,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,126.1743699
261,BIKEFAC3198,Multi-use Pathway,Halifax Common Multi-Use Pathways,,Full Implementation,Permanent,Not Applicable,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,223.6413278
262,BIKEFAC3199,Multi-use Pathway,Halifax Common Multi-Use Pathways,,Full Implementation,Permanent,Not Applicable,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,223.7488599
263,BIKEFAC3200,Multi-use Pathway,Halifax Common Multi-Use Pathways,,Full Implementation,Permanent,Not Applicable,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,224.3816316
264,BIKEFAC3201,Multi-use Pathway,Halifax Common Multi-Use Pathways,,Full Implementation,Permanent,Not Applicable,Bidirectional,,,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TPW,Interactive,36.45755361
265,BIKEFAC3310,Painted Bike Lane,Bedford Highway Painted Bike Lanes,Bedford Highway,Full Implementation,Permanent,Not Applicable,Bidirectional,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,3028.511354
266,BIKEFAC3311,Painted Bike Lane,Bedford Highway Painted Bike Lanes,Bedford Hwy,Full Implementation,Permanent,Not Applicable,Bidirectional,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,DM,Interactive,1908.211693
267,BIKEFAC3312,Painted Bike Lane,Dunbrack Street Painted Bike Lanes,Dunbrack St,Full Implementation,Permanent,Not Applicable,Bidirectional,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,1188.437281
268,BIKEFAC3313,Painted Bike Lane,Dunbrack Street Painted Bike Lanes,Dunbrack St,Full Implementation,Permanent,Not Applicable,Bidirectional,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,1190.42873
269,BIKEFAC3314,Suggested Bike Route on Main Road,,Purcells Cove Rd,,,,,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,171.8896088
270,BIKEFAC3315,Painted Bike Lane,Dunbrack Street Painted Bike Lanes,Dunbrack St,Full Implementation,Permanent,Not Applicable,Bidirectional,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,2911.292156
271,BIKEFAC3316,Suggested Bike Route on Main Road,,Cobequid Rd,,,,,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,2321.707963
272,BIKEFAC3317,Suggested Bike Route on Main Road,,Cobequid Rd,,,,,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,3807.049032
273,BIKEFAC3318,Suggested Bike Route on Main Road,,Cobequid Rd,,,,,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,545.3916948
274,BIKEFAC3234,Painted Bike Lane,Lower Water Street Painted Bike Lane,Lower Water St,Full Implementation,Permanent,East Side,Unidirectional Northbound,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,753.7266328
275,BIKEFAC3235,Painted Bike Lane,Hollis Street Painted Bike Lane,Hollis St,Partial Implementation,Pilot,East Side,Unidirectional Southbound,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,846.3550425
276,BIKEFAC3236,Suggested Bike Route on Main Road,,Duke St,,,Y, ,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,200.9545087
277,BIKEFAC3237,Painted Bike Lane,Brunswick St Painted Bike Lanes,Brunswick St,Full Implementation,Permanent,Not Applicable,Bidirectional,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,404.1147337
278,BIKEFAC3238,Painted Bike Lane,Brunswick St Painted Bike Lanes,Brunswick St,Full Implementation,Permanent,Not Applicable,Bidirectional,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,500.6958661
279,BIKEFAC3239,Painted Bike Lane,North Park Street Painted Bike Lanes,North Park St,Full Implementation,Permanent,Not Applicable,Bidirectional,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,229.1143547
280,BIKEFAC3240,Painted Bike Lane,Wright Ave Painted Bike Lanes,,,,,,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,1193.955568
281,BIKEFAC3241,Painted Bike Lane,Hollis Street Painted Bike Lane,Hollis St,Partial Implementation,Pilot,East Side,Unidirectional Southbound,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,491.2719756
282,BIKEFAC3242,Painted Bike Lane,Hollis Street Painted Bike Lane,Hollis St,Partial Implementation,Pilot,East Side,Unidirectional Southbound,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,236.1532411
283,BIKEFAC3243,Painted Bike Lane,North Park Street Painted Bike Lanes,North Park St,Full Implementation,Permanent,Not Applicable,Bidirectional,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,243.0880498
284,BIKEFAC3244,Painted Bike Lane,Wright Ave Painted Bike Lanes,,,,,,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,1192.410219
285,BIKEFAC3245,Painted Bike Lane,Wright Ave Painted Bike Lanes,,,,,,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,942.9789641
286,BIKEFAC3246,Painted Bike Lane,Wright Ave Painted Bike Lanes,,,,,,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,936.046163
287,BIKEFAC3247,Painted Bike Lane,Wright Ave Painted Bike Lanes,,,,,,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,414.0720063
288,BIKEFAC3248,Painted Bike Lane,Wright Ave Painted Bike Lanes,,,,,,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,417.1024739
289,BIKEFAC3249,Painted Bike Lane,Wilkinson Ave Painted Bike Lanes,Wilkinson Ave,,,,,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,1888.308434
290,BIKEFAC3250,Painted Bike Lane,,Ilsley Ave,,,,,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,1266.578597
291,BIKEFAC3251,Multi-use Pathway,Halifax Waterfront Boardwalk,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,53.14259729
292,BIKEFAC3252,Multi-use Pathway,Halifax Waterfront Boardwalk,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,994.6695035
293,BIKEFAC3253,Multi-use Pathway,Long Lake Trails,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,,635.7110712
294,BIKEFAC3254,Multi-use Pathway,Long Lake Trails,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,,236.1019596
295,BIKEFAC3255,,,,,,,,,,,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,27.09659812
296,BIKEFAC3256,Multi-use Pathway,Long Lake Trails,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,,127.889692
297,BIKEFAC3257,Multi-use Pathway,Long Lake Trails,,Full Implementation,Permanent,Not Applicable,Bidirectional,,Designated cycling path off-street,Yes,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,,22.16805418
298,BIKEFAC3258,Painted Bike Lane,Main Street Painted Bike Lanes,Main St,,, ,,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,527.0073878
299,BIKEFAC3259,Painted Bike Lane,Horseshoe Lake Dr Painted Bike Lanes,Horseshoe Lake Dr,Full Implementation,Permanent,Not Applicable,Bidirectional,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,DM,Interactive,206.2276259
300,BIKEFAC3260,Painted Bike Lane,Horseshoe Lake Dr Painted Bike Lanes,Horseshoe Lake Dr,Full Implementation,Permanent,Not Applicable,Bidirectional,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,DM,Interactive,49.64512164
301,BIKEFAC3261,Painted Bike Lane,Chain Lake Dr Painted Bike Lanes,Chain Lake Dr,Full Implementation,Permanent,Not Applicable, ,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,294.8834049
302,BIKEFAC3262,Painted Bike Lane,Chain Lake Dr Painted Bike Lanes,Chain Lake Dr,Full Implementation,Permanent,Not Applicable, ,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,235.6039173
303,BIKEFAC3263,Painted Bike Lane,Chain Lake Dr Painted Bike Lanes,Chain Lake Dr,Full Implementation,Permanent,Not Applicable, ,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,DM,Interactive,255.6945892
304,BIKEFAC3264,Painted Bike Lane,Horseshoe Lake Dr Painted Bike Lanes,Horseshoe Lake Dr,Full Implementation,Permanent,Not Applicable,Bidirectional,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,CR,Interactive,197.6959312
305,BIKEFAC3265,Painted Bike Lane,Horseshoe Lake Dr Painted Bike Lanes,Horseshoe Lake Dr,Full Implementation,Permanent,Not Applicable,Bidirectional,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,DM,Interactive,143.1759294
306,BIKEFAC3266,Painted Bike Lane,Horseshoe Lake Dr Painted Bike Lanes,Horseshoe Lake Dr,Full Implementation,Permanent,Not Applicable,Bidirectional,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,DM,Interactive,59.0795095
307,BIKEFAC3267,Painted Bike Lane,St Margarets Bay Rd Painted Bike Lanes,St Margarets Bay Rd,Full Implementation,Permanent,Not Applicable,Bidirectional,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,DM,Interactive,2470.729272
308,BIKEFAC3268,Painted Bike Lane,Horseshoe Lake Dr Painted Bike Lanes,Horseshoe Lake Dr,Full Implementation,Permanent,Not Applicable,Bidirectional,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,CR,Interactive,60.76878333
309,BIKEFAC3269,Painted Bike Lane,Chain Lake Dr Painted Bike Lanes,Chain Lake Dr,Full Implementation,Permanent,Not Applicable, ,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,DM,Interactive,409.7735942
310,BIKEFAC3270,Painted Bike Lane,Chain Lake Dr Painted Bike Lanes,Chain Lake Dr,Full Implementation,Permanent,Not Applicable, ,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,DM,Interactive,185.3857673
311,BIKEFAC3271,Painted Bike Lane,Chain Lake Dr Painted Bike Lanes,Chain Lake Dr,Full Implementation,Permanent,Not Applicable, ,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,233.0944642
312,BIKEFAC3272,Painted Bike Lane,Chain Lake Dr Painted Bike Lanes,Chain Lake Dr,Full Implementation,Permanent,Not Applicable, ,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,262.1090852
313,BIKEFAC3273,Painted Bike Lane,Horseshoe Lake Dr Painted Bike Lanes,Horseshoe Lake Dr,Full Implementation,Permanent,Not Applicable,Bidirectional,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,DM,Interactive,58.14988215
314,BIKEFAC3274,Painted Bike Lane,Chain Lake Dr Painted Bike Lanes,Chain Lake Dr,Full Implementation,Permanent,Not Applicable, ,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,DM,Interactive,51.7303507
315,BIKEFAC3275,Painted Bike Lane,Chain Lake Dr Painted Bike Lanes,Chain Lake Dr,Full Implementation,Permanent,Not Applicable, ,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,DM,Interactive,56.89482343
316,BIKEFAC3276,Painted Bike Lane,Horseshoe Lake Dr Painted Bike Lanes,Horseshoe Lake Dr,Full Implementation,Permanent,Not Applicable,Bidirectional,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,DM,Interactive,57.73362413
317,BIKEFAC3277,Painted Bike Lane,Horseshoe Lake Dr Painted Bike Lanes,Horseshoe Lake Dr,Full Implementation,Permanent,Not Applicable,Bidirectional,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,DM,Interactive,58.34592806
318,BIKEFAC3278,Painted Bike Lane,Horseshoe Lake Dr Painted Bike Lanes,Horseshoe Lake Dr,Full Implementation,Permanent,Not Applicable,Bidirectional,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,CR,Interactive,60.35034665
319,BIKEFAC3279,Painted Bike Lane,Horseshoe Lake Dr Painted Bike Lanes,Horseshoe Lake Dr,Full Implementation,Permanent,Not Applicable,Bidirectional,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,DM,Interactive,169.1065855
320,BIKEFAC3280,Painted Bike Lane,Horseshoe Lake Dr Painted Bike Lanes,Horseshoe Lake Dr,Full Implementation,Permanent,Not Applicable,Bidirectional,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,DM,Interactive,112.2779456
321,BIKEFAC3281,Painted Bike Lane,Horseshoe Lake Dr Painted Bike Lanes,Horseshoe Lake Dr,Full Implementation,Permanent,Not Applicable,Bidirectional,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,DM,Interactive,120.9863192
322,BIKEFAC3282,Suggested Bike Route on Main Road,,,,, , ,,None,No,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,234.1248678
323,BIKEFAC3283,,,,,, , ,,,,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,18.83254373
324,BIKEFAC3284,,,,,, , ,,,,2019-04-29T16:59:47.000Z,2019-04-29T16:59:47.000Z,,TRAFFIC,Interactive,17.64712776
